Name,Address,City,PostalCode,Country,Latitude,Longitude
Brot & Spiele,Mariahilferstraße 17,Graz,8020,Austria,47.0732717,15.4330359
Brot und Spiele,Laudongasse 22,Vienna,1080,Austria,48.2134073,16.3497987
Café Benno,Alser Str. 67,Vienna,1080,Austria,48.2150499,16.3425866
Café Sperlhof,Große Sperlgasse 41,Vienna,1020,Austria,48.2196582,16.3783796
SpielBar,Lederergasse 26,Vienna,1080,Austria,48.2136882,16.3484757
The Playground (Hoofdkerk),Hoofdkerkstraat 7,Antwerp,2000,Belgium,51.221243099999995,4.403737799723559
The Playground (Station),Pelikaanstraat 3/1270,Antwerp,2018,Belgium,51.2166439,4.4207918
Outpost Antwerpen,Beggaardenstraat 6 ,Antwerp,2000,Belgium,51.2195104,4.4044676
La Luck Brussels,74 rue Washington,Brussels,1050,Belgium,50.8234947,4.3634013
La Table Food & Games,63 rue de l'enseignement,Brussels,1000,Belgium,50.8488454,4.3652809
Outpost Brussels,Rue de la Tribune 8,Brussels,1000,Belgium,50.8487405,4.3650756
Kings and Queens,Rue du Fossé aux Loups 27,Brussels,1000,Belgium,50.850052,4.3549571
OutPost Gamecenter,Ottergemsesteenweg 13 ,Gent,9000,Belgium,51.03729615,3.727111354778561
World's End Comics & Games Center,Ketelvest 51,Gent,9000,Belgium,51.049344,3.7257783
Oberonn,Kempische steenweg 27/1,Hasselt,3500,Belgium,50.9433562,5.3430335
Yam-toto,Rue Hors-Château 43,Liège,4000,Belgium,50.647654,5.5802602
Aux 3D Board Game Cafe,Place Abbé Joseph André 11,Namur,5000,Belgium,50.47010805,4.860038761806056
Brood en Spelen,Stationsstraat 41,Sint-Niklaas,9100,Belgium,51.1674965,4.1420048
De Ezel,Piepelpoel,Tongeren,3700,Belgium,50.7804622,5.4663051
Meeple People,Bul. Tsar Boris III Obedinitel 52,Plovdiv,4000,Bulgaria,42.1608037,24.748054
Offline Café,Danail Nikolaev 39,Plovdiv,4000,Bulgaria,42.2861507,24.9590462
BoardGames Ruse,ул. Борисова 8,Ruse,7000,Bulgaria,43.8479845,25.9542702
3 Trolls,"ul. ""Oborishte"" 80",Sofia,1505 Oborishte,Bulgaria,42.6931962,23.3546767
Mystica TEA & PUB,Palackého třída 78,Brno,612 00,Czechia,49.2235271,16.5952265
A Maze in Tchaiovna,Muchova 4,Prague,160 00,Czechia,50.0985346,14.4064657
