,Name,Address,City,PostalCode,Country,Code
0,Brot & Spiele,Mariahilferstraße 17,Graz,8020,Austria,AT
1,Brot und Spiele,Laudongasse 22,Vienna,1080,Austria,AT
2,Café Benno,Alser Str. 67,Vienna,1080,Austria,AT
3,Café Sperlhof,Große Sperlgasse 41,Vienna,1020,Austria,AT
4,SpielBar,Lederergasse 26,Vienna,1080,Austria,AT
5,The Playground (Hoofdkerk),Hoofdkerkstraat 7,Antwerp,2000,Belgium,BE
6,The Playground (Station),Pelikaanstraat 3/1270,Antwerp,2018,Belgium,BE
7,Outpost Antwerpen,Beggaardenstraat 6 ,Antwerp,2000,Belgium,BE
8,La Luck Brussels,74 rue Washington,Brussels,1050,Belgium,BE
9,La Table Food & Games,63 rue de l'enseignement,Brussels,1000,Belgium,BE
10,Outpost Brussels,Rue de la Tribune 8,Brussels,1000,Belgium,BE
11,Kings and Queens,Rue du Fossé aux Loups 27,Brussels,1000,Belgium,BE
12,OutPost Gamecenter,Ottergemsesteenweg 13 ,Gent,9000,Belgium,BE
13,World's End Comics & Games Center,Ketelvest 51,Gent,9000,Belgium,BE
14,Oberonn,Kempische steenweg 27/1,Hasselt,3500,Belgium,BE
15,Yam-toto,En Hors-Chateau 43,Liège,4000,Belgium,BE
16,Aux 3D Board Game Cafe,"Place Abbe Joseph, 11",Namur,5000,Belgium,BE
17,Brood en Spelen,Stationsstraat 41,Sint-Niklaas,9100,Belgium,BE
18,De Ezel,Piepelpoel,Tongeren,3700,Belgium,BE
19,Meeple People,Bul. Tsar Boris III Obedinitel 52,Plovdiv,4000,Bulgaria,BG
20,Offline Café,Danail Nikolaev 39,Plovdiv,4000,Bulgaria,BG
21,BoardGames Ruse,ул. Борисова 8,Ruse,7000,Bulgaria,BG
22,Mystica TEA & PUB,Palackého třída 78,Brno,612 00,Czechia,CZ
23,A Maze in Tchaiovna,Muchova 4,Prague,160 00,Czechia,CZ
24,Bohemia Boards & Brews,Charkovská 18,Prague,101 00,Czechia,CZ
25,Aalborg Brætspilscafé,Vesterbro 30,Aalborg,9000,Denmark,DK
26,Dice 'n Drinks,Sankelmarksgade 15,Aalborg,9000,Denmark,DK
27,Aarhus Brtspilscafe Fredensgade,Fredensgade 38,Aarhus C,8000,Denmark,DK
28,Aarhus Brtspilscafe Vestergade,Vestergade 58A,Aarhus C,8000,Denmark,DK
29,Bastard Cafe,Rådhusstræde 13,Copenhagen,1466,Denmark,DK
30,Social Corner Board Game Cafe,Fiolstræde 25,Copenhagen,1171,Denmark,DK
31,Topdeck,Carlsbergvej 32B,Hillerød,3400,Denmark,DK
32,Cafe Firefly,Munkegade 4,Kolding,6000,Denmark,DK
33,Papas Papbar,Skt. Knuds Kirkestræde 2A,Odense,5000,Denmark,DK
34,Æ Bræt,Store Rådhusgade 19C,Sønderborg,6400,Denmark,DK
35,The Gaming Den,12 London Street,Basingstoke,RG21 7NT,England,GB
36,Thirsty Meeples,39 Gay Street,Bath,BA1 2NT,England,GB
37,Ready Steady Roll ,Ivy Lodge ,Bedford,MK44 1ND,England,GB
38,Chance & Counters,Custard Factory,Birmingham,B9 4AA,England,GB
39,Geek Retreat Birmingham,38 The Priory Queensway,Birmingham,B4 7LA,England,GB
40,Meeple Mayhem,226 Monument Road,Birmingham,b16 9AG,England,GB
41,Sliced N Diced,850 Bristol Road ,Birmingham,B29 6HW,England,GB
42,Snax & Ladders Board Game Cafe,41 Watford Rd,Birmingham,B30 1JB,England,GB
43,Cherry Moon,32 Bridge Street,Bolton,BL1 2EH,England,GB
