City,Latitude,Longitude
Aachen,50.776351,6.083862
Abakan,53.7206611,91.4403687
Aberdeen,57.1482429,-2.0928095
Adana,36.9936175,35.3258349
Adapazarı,40.784799,30.3996833
Adıyaman,37.78936,38.3141101
Afyon,38.6852729,30.6427411
Aksaray,38.4326291,33.8976963
Alcalá De Henares,40.4818396,-3.3644973
Alicante,38.353738,-0.4901846
Almería,36.8414197,-2.4628135
Angarsk,52.5311117,103.8826109
Antakya,36.26465455,36.176266473988434
Antalya,36.9009641,30.6954846
Apeldoorn,52.17957375,5.930077460807249
Arad,46.1753793,21.3196342
Arkhangelsk,64.543022,40.537121
Armavir,40.155261249999995,44.03765611246641
Astrakhan,46.3498308,48.0326203
Augsburg,48.3668041,10.8986971
Aydın,37.8413007,27.8328374
Aylesbury Vale,51.899954750000006,-0.8782710004180965
Bacau,46.42613415,26.71205400126924
Badalona,41.4493539,2.248254
Baia Mare,47.6565584,23.5719843
Balakovo,52.01812,47.819141
Balıkesir,39.5400798,28.0228793
Banja Luka,44.7720845,17.1917651
Baranovichi,53.1322925,26.0184156
Bari,41.1257843,16.8620293
Barnaul,53.347402,83.7784496
Barnsley,53.5527719,-1.4827755
Basildon,51.5754602,0.4757363
Batman,37.7874104,41.2573924
Belaya Tserkov,49.8038191,30.1116924
Belfast,54.5964411,-5.9302761
Belgorod,50.5955595,36.5873394
Beltsy,47.7620065,27.9286221
Berezniki,59.417285250000006,56.832862252535506
Bergen,60.3943055,5.3259192
Bialystok,53.127505049999996,23.147050870161664
Bielefeld,52.0191005,8.531007
Bielsko-Biala,49.81207845,19.029198802013944
Biisk,52.5394905,85.2148673
Bilbao,43.2630018,-2.9350039
Blackpool,53.8182212,-3.0564845
Blagoveshchensk,50.290527,127.527161
Bobruisk,53.1449683,29.2281209
Bologna,44.4937577,11.3430308
Borisov,54.2240665,28.5117849
Bourgas,42.446600000000004,27.20620689265119
Bournemouth,50.7194784,-1.8767712
Braila,45.2716092,27.9742932
Brasov,45.6523093,25.6102746
Bratislava,48.1516988,17.1093063
Bratsk,56.1517085,101.6334907
Braunschweig,52.2646577,10.5236066
Bremen,53.0758196,8.8071646
Brescia,45.77958045,10.4258729694612
Brest,48.3905283,-4.4860088
Bryansk,53.2423778,34.3668288
Burgos,42.343926,-3.696977
Bursa,40.1827657,29.0677305
Bury,49.3132772,2.3439338
Bydgoszcz,53.12974625,18.029369658534854
Bytom,50.3657432,18.87153251609449
Bâle,47.5581077,7.5878261
Caerphilly,51.6723809,-3.178393772876317
Cagliari,39.2169525,9.1128513
Calderdale,53.720474800000005,-1.9622886329676708
Cartagena,37.6267868,-1.0006184
Catania,37.5022355,15.08738
Charleroi,50.4120332,4.4436244
Charnwood,52.7392639,-1.1370832780406597
Cheboksary,56.1307195,47.2449597
Chelyabinsk,55.1598408,61.4025547
Chemnitz,50.8322608,12.9252977
Cherepovets,59.128696,37.916389
Cherkassy,40.5695233,49.6715837
Chernigov,51.494099,31.294332
Chernovtsy,48.2864702,25.9376532
Chita,52.033409,113.500893
Constanta,44.1767161,28.6507598
Coventry,52.4081812,-1.510477
Craiova,44.3190159,23.7965614
Czestochowa,50.8089997,19.1244089281233
