,City_name,Venue_name,Venue_cat,Venue_catID
0,Aachen,Rathaus,City Hall,4bf58dd8d48988d129941735
1,Aachen,Markt,Plaza,4bf58dd8d48988d164941735
2,Aachen,Krönungssaal,History Museum,4bf58dd8d48988d190941735
3,Aachen,Starbucks,Coffee Shop,4bf58dd8d48988d1e0931735
4,Aachen,Brauerei Goldener Schwan,German Restaurant,4bf58dd8d48988d10d941735
5,Aachen,Katschhof,Plaza,4bf58dd8d48988d164941735
6,Aachen,Karlsbrunnen,Fountain,56aa371be4b08b9a8d573547
7,Aachen,REWE CITY,Supermarket,52f2ab2ebcbc57f1066b8b46
8,Aachen,Weißer Saal im Rathaus,City Hall,4bf58dd8d48988d129941735
9,Aachen,Haus Löwenstein,Government Building,4bf58dd8d48988d126941735
10,Aachen,Zum Postwagen,German Restaurant,4bf58dd8d48988d10d941735
11,Aachen,Rathaustreppe,Historic Site,4deefb944765f83613cdba6e
12,Aachen,Ratskeller Aachen,Restaurant,4bf58dd8d48988d1c4941735
13,Aachen,Sultans of Kebab,Fast Food Restaurant,4bf58dd8d48988d16e941735
14,Aachen,inlingua Center Aachen,Language School,52e81612bcbc57f1066b7a48
15,Aachen,Rossmann,Drugstore,5745c2e4498e11e7bccabdbd
16,Aachen,The Body Shop,Cosmetics Shop,4bf58dd8d48988d10c951735
17,Aachen,Ghorban Delikatessen Manufaktur,Deli / Bodega,4bf58dd8d48988d146941735
18,Aachen,NEOORO - Die Liquidboutique,Wine Shop,4bf58dd8d48988d119951735
19,Aachen,Cafe Extrablatt,Café,4bf58dd8d48988d16d941735
20,Aachen,Autrepart,Cosmetics Shop,4bf58dd8d48988d10c951735
21,Aachen,Modellbahn-Center Hünerbein,Hobby Shop,4bf58dd8d48988d1fb941735
22,Aachen,Teestube Haus Eulenspiegel,Tea Room,4bf58dd8d48988d1dc931735
23,Aachen,Rund um Dom und Rathaus,College Gym,4bf58dd8d48988d1b2941735
24,Aachen,Cafe Colette,Café,4bf58dd8d48988d16d941735
25,Aachen,Hühnermarkt,Plaza,4bf58dd8d48988d164941735
26,Aachen,Hühnebein,Hobby Shop,4bf58dd8d48988d1fb941735
27,Aachen,bitburger,German Restaurant,4bf58dd8d48988d10d941735
28,Aachen,Rathausbalkon Aachen,Other Nightlife,4bf58dd8d48988d11a941735
29,Aachen,Asia Box,Asian Restaurant,4bf58dd8d48988d142941735
30,Aachen,Brauhaus Goldener Schwan,German Restaurant,4bf58dd8d48988d10d941735
31,Aachen,ALEX,Café,4bf58dd8d48988d16d941735
32,Aachen,AKL,Falafel Restaurant,4bf58dd8d48988d10b941735
33,Aachen,Karl's Wirtshaus,German Restaurant,4bf58dd8d48988d10d941735
34,Aachen,Fara Maleki und Gesine Lange,Doctor's Office,4bf58dd8d48988d177941735
35,Aachen,Aix Mediterrane,Mediterranean Restaurant,4bf58dd8d48988d1c0941735
36,Aachen,glühwein-treff ratskeller,Wine Bar,4bf58dd8d48988d123941735
37,Aachen,Centre Charlemagne,History Museum,4bf58dd8d48988d190941735
38,Aachen,Rethel Pub,Pub,4bf58dd8d48988d11b941735
39,Aachen,Hexenhof,Gastropub,4bf58dd8d48988d155941735
40,Aberdeen,Mercat Cross,Other Great Outdoors,4bf58dd8d48988d162941735
41,Aberdeen,Siam Cottage,Thai Restaurant,4bf58dd8d48988d149941735
42,Aberdeen,La Lombarda,Italian Restaurant,4bf58dd8d48988d110941735
43,Aberdeen,Castlegate,Plaza,4bf58dd8d48988d164941735
44,Aberdeen,The Archibald Simpson (Wetherspoon),Pub,4bf58dd8d48988d11b941735
45,Aberdeen,Sheriff court,Courthouse,4bf58dd8d48988d12b941735
46,Aberdeen,The Carlton,Pub,4bf58dd8d48988d11b941735
47,Aberdeen,Aberdeen Citadel Corps,Church,4bf58dd8d48988d132941735
48,Aberdeen,Just A Cut,Salon / Barbershop,4bf58dd8d48988d110951735
49,Aberdeen,Tolbooth Museum,History Museum,4bf58dd8d48988d190941735
50,Aberdeen,castlegate post office,Post Office,4bf58dd8d48988d172941735
51,Aberdeen,PureGym,Gym / Fitness Center,4bf58dd8d48988d175941735
52,Aberdeen,Hotel Ibis Aberdeen Centre,Hotel,4bf58dd8d48988d1fa931735
53,Aberdeen,VSA Mercat Bookshop,Bookstore,4bf58dd8d48988d114951735
54,Aberdeen,Marischal Apartments,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
55,Aberdeen,Bus Stop at Broad Street,Bus Stop,52f2ab2ebcbc57f1066b8b4f
56,Aberdeen,Fierce Bar Aberdeen,Beer Bar,56aa371ce4b08b9a8d57356c
57,Aberdeen,Volunteer Services Aberdeen,Non-Profit,50328a8e91d4c4b30a586d6c
58,Aberdeen,BrewDog Castlegate,Beer Bar,56aa371ce4b08b9a8d57356c
59,Aberdeen,Arts Centre & Theatre Aberdeen,Performing Arts Venue,4bf58dd8d48988d1f2931735
60,Aberdeen,Sinatra's Bar,Bar,4bf58dd8d48988d116941735
61,Aberdeen,St Andrews Cathedral,Church,4bf58dd8d48988d132941735
62,Aberdeen,Grampian Police Headquarters,Police Station,4bf58dd8d48988d12e941735
63,Aberdeen,The Wig,Pub,4bf58dd8d48988d11b941735
64,Aberdeen,The Toll Boooth,City Hall,4bf58dd8d48988d129941735
65,Aberdeen,Mcpherson Optometry,Optical Shop,4d954afda243a5684865b473
66,Aberdeen,The Esslemont,Scottish Restaurant,5744ccdde4b0c0459246b4a3
67,Aberdeen,The Illicit Still,Pub,4bf58dd8d48988d11b941735
68,Aberdeen,Lane7,Bowling Alley,4bf58dd8d48988d1e4931735
69,Aberdeen,493 Union Street,Nightclub,4bf58dd8d48988d11f941735
70,Aberdeen,Mac's Pizzeria,Pizza Place,4bf58dd8d48988d1ca941735
71,Aberdeen,Linton + Mac,Salon / Barbershop,4bf58dd8d48988d110951735
72,Aberdeen,Royal Athenaeum Suites,Hotel,4bf58dd8d48988d1fa931735
73,Aberdeen,McKays,Hobby Shop,4bf58dd8d48988d1fb941735
74,Aberdeen,Vue,Movie Theater,4bf58dd8d48988d17f941735
75,Aberdeen,Old Blackfriars,Bar,4bf58dd8d48988d116941735
76,Aberdeen,The Town House,Government Building,4bf58dd8d48988d126941735
77,Aberdeen,Vitamin Shop,Sporting Goods Shop,4bf58dd8d48988d1f2941735
78,Aberdeen,Shoe Lane Bus Stop,Bus Stop,52f2ab2ebcbc57f1066b8b4f
79,Adana,Abidin Dino Sanat Parkı,Park,4bf58dd8d48988d163941735
80,Adana,Adana Büyükşehir Belediyesi,City Hall,4bf58dd8d48988d129941735
81,Adana,Adana Büyükşehir Belediye Tiyatrosu,Performing Arts Venue,4bf58dd8d48988d1f2931735
82,Adana,Özel Adana Hastanesi,Hospital,4bf58dd8d48988d196941735
83,Adana,Adana Divan,Hotel,4bf58dd8d48988d1fa931735
84,Adana,Sahaf Kitabevi,Bookstore,4bf58dd8d48988d114951735
85,Adana,Atatürk Parkı,Park,4bf58dd8d48988d163941735
86,Adana,Adana Çarşı,Other Great Outdoors,4bf58dd8d48988d162941735
87,Adana,Gazipasa.,Candy Store,4bf58dd8d48988d117951735
88,Adana,Çevre Koruma ve Kontrol Daire Başkanlığı,City Hall,4bf58dd8d48988d129941735
89,Adana,Çukurova Devlet Senfoni Orkestrası (ÇDSO),Concert Hall,5032792091d4c4b30a586d5c
90,Adana,Adana Havalimanı (ADA) (Adana Havalimanı),Airport,4bf58dd8d48988d1ed931735
91,Adana,Adana Büyükşehir Belediyesi Bilgi İşlem Daire Başkanligi,Government Building,4bf58dd8d48988d126941735
92,Adana,Adana,Park,4bf58dd8d48988d163941735
93,Adana,Çetinkaya,Café,4bf58dd8d48988d16d941735
94,Adana,Adana Ticaret Borsası,Office,4bf58dd8d48988d124941735
95,Adana,Adana Büyükşehir Belediyesi Kent Estetiği ve Kent.Dön.Dai.Bşk Zemin Kat,Town Hall,52e81612bcbc57f1066b7a38
96,Adana,ARİNNA,Coworking Space,4bf58dd8d48988d174941735
97,Adana,Hipodrom,Racetrack,4bf58dd8d48988d1f4931735
98,Adana,Kazım Büfe,Snack Place,4bf58dd8d48988d1c7941735
99,Adana,KVK Teknik Servis,Mobile Phone Shop,4f04afc02fb6e1c99f3db0bc
100,Adana,Adana Büyükşehir Belediyesi Dış İlişkiler Ofisi,City Hall,4bf58dd8d48988d129941735
101,Adana,QNB Finans Leasing,Office,4bf58dd8d48988d124941735
102,Adana,Viola Güzellik Merkezi (Estetik Ve Lazer Epilasyon),Business Center,56aa371be4b08b9a8d573517
103,Adana,Adana Seyhan Nüfus Müdürlüğü,Government Building,4bf58dd8d48988d126941735
104,Adana,Zümrüt Sitesi B Blok,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
105,Adana,Çukurovatürk Tv,TV Station,52e81612bcbc57f1066b7a31
106,Adana,Adana Büyükşehir Belediyesi Ek Hizmet Binası,College Administrative Building,4bf58dd8d48988d197941735
107,Adana,Özülkü İş Merkezi,Building,4bf58dd8d48988d130941735
108,Adana,Dentales Özel  Ağız Ve Diş Sağlığı Hastanesi,Business Center,56aa371be4b08b9a8d573517
109,Adana,avukat fatoş hacıvelioğlu&cemre topal,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
110,Adana,Adana Büyükşehir Kent Konseyi,Coworking Space,4bf58dd8d48988d174941735
111,Adana,ADANA BUYUKSEHIR BELEDIYESI DINLENME YERI,Garden,4bf58dd8d48988d15a941735
112,Adana,Ot Cafe Bar Adana,Gastropub,4bf58dd8d48988d155941735
113,Adana,Şinasi Cafe & Bar & Restaurant,Bar,4bf58dd8d48988d116941735
114,Adana,Göksel & Serap Kuaför,Salon / Barbershop,4bf58dd8d48988d110951735
115,Adana,rebirth consultancy,Coworking Space,4bf58dd8d48988d174941735
116,Adana,Irmak Hamamı,Building,4bf58dd8d48988d130941735
117,Adana,TEKNOFEN İnsaat Şantiyesi,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
118,Adana,BASARI TICARET VE ILETISIM HIZM.A.S.,Office,4bf58dd8d48988d124941735
119,Adapazarı,Bizim Eczane,Pharmacy,4bf58dd8d48988d10f951735
120,Adapazarı,Yıldırım Et,Butcher,4bf58dd8d48988d11d951735
121,Adapazarı,Studio5 Pilates&Cardio,Pilates Studio,5744ccdfe4b0c0459246b4b2
122,Adapazarı,Doğa Veteriner Kliniği,Veterinarian,4d954af4a243a5684765b473
123,Adapazarı,Metro Turizm Karaağaç Şubesi,General Travel,4bf58dd8d48988d1f6931735
124,Adapazarı,BİM Karaağaç,Big Box Store,52f2ab2ebcbc57f1066b8b42
125,Adapazarı,Memis Ticaret,Office,4bf58dd8d48988d124941735
126,Adapazarı,Adapazarı İlçe Müftülüğü,Government Building,4bf58dd8d48988d126941735
127,Adapazarı,Altunlar İnşaat,Construction & Landscaping,5454144b498ec1f095bff2f2
128,Adapazarı,Can Börekçilik & Çiğ Köfte,Bakery,4bf58dd8d48988d16a941735
129,Adapazarı,StudioArt Pilates,Pilates Studio,5744ccdfe4b0c0459246b4b2
130,Adapazarı,Çiğköfteci Sait,Cigkofte Place,530faca9bcbc57f1066bc2f4
131,Adapazarı,Kuafor Nilay,Nail Salon,4f04aa0c2fb6e1c99f3db0b8
132,Adapazarı,Tekeler Gökkusagı Park,Park,4bf58dd8d48988d163941735
133,Adapazarı,Kent Park,Park,4bf58dd8d48988d163941735
134,Adapazarı,Bim Karaağaçdibi Şubesi,Outlet Store,52f2ab2ebcbc57f1066b8b35
135,Adapazarı,Agora,Shopping Mall,4bf58dd8d48988d1fd941735
136,Adapazarı,D-Smart Shop,Miscellaneous Shop,4bf58dd8d48988d1ff941735
137,Adapazarı,LUFT,Bar,4bf58dd8d48988d116941735
138,Adapazarı,Se~T Tekel,Smoke Shop,4bf58dd8d48988d123951735
139,Adapazarı,Geltat Supermarket,Food Court,4bf58dd8d48988d120951735
140,Adapazarı,Yıldırım Piliç Yumurta San. ve Tic. Ltd. Şti.,Factory,4eb1bea83b7b6f98df247e06
141,Adapazarı,sistem cevre,Building,4bf58dd8d48988d130941735
142,Adapazarı,Ali Alp Ticaret,Shopping Mall,4bf58dd8d48988d1fd941735
143,Adapazarı,SCK KAUCUK VE ZEMİN SİSTEMLERİ,Office,4bf58dd8d48988d124941735
144,Adapazarı,Büyükgazi Ortaokulu,Middle School,4f4533814b9074f6e4fb0106
145,Adapazarı,Karaosman Mah. Mutarlığı,Building,4bf58dd8d48988d130941735
146,Adapazarı,Mramor Makine Karaağaçdibi Şube,Factory,4eb1bea83b7b6f98df247e06
147,Adapazarı,Muhtar Bilir Emlak,Real Estate Office,5032885091d4c4b30a586d66
148,Adapazarı,Uzun Çarşı Essen Avm,Big Box Store,52f2ab2ebcbc57f1066b8b42
149,Adapazarı,Rahatsız Cafe,Café,4bf58dd8d48988d16d941735
150,Adapazarı,karaagac zabita karakolu,Police Station,4bf58dd8d48988d12e941735
151,Adapazarı,İhsaniye Camii,Mosque,4bf58dd8d48988d138941735
152,Adapazarı,BBP Adapazarı Ilçe Teşkilatı,Building,4bf58dd8d48988d130941735
153,Adapazarı,babaiş inşaat ltd. şti.,Fabric Shop,52f2ab2ebcbc57f1066b8b26
154,Adapazarı,Akcanlar,Financial or Legal Service,503287a291d4c4b30a586d65
155,Adapazarı,Hakmar Mağazacılık A.Ş,Shopping Mall,4bf58dd8d48988d1fd941735
156,Adapazarı,Ptt - Karaağaç Şb.,Bank,4bf58dd8d48988d10a951735
157,Adapazarı,Mramor ltd.sti,Factory,4eb1bea83b7b6f98df247e06
158,Adapazarı,Mekanın Dibi,Bar,4bf58dd8d48988d116941735
159,Adıyaman,Adıyaman Çarşı,Other Great Outdoors,4bf58dd8d48988d162941735
160,Adıyaman,Adıyaman Üniversitesi Eğitim ve Araştırma Hastanesi,Hospital,4bf58dd8d48988d196941735
