,Café_name,Café_city,Venue_name,Venue_cat,Venue_catID
0,Brot & Spiele,Graz,Die Scherbe,Bar,4bf58dd8d48988d116941735
1,Brot & Spiele,Graz,Noël,Bar,4bf58dd8d48988d116941735
2,Brot & Spiele,Graz,Mursteg,Bridge,4bf58dd8d48988d1df941735
3,Brot & Spiele,Graz,The Hungry Heart - American Street Food,Hot Dog Joint,4bf58dd8d48988d16f941735
4,Brot & Spiele,Graz,Paul & Bohne,Coffee Shop,4bf58dd8d48988d1e0931735
5,Brot & Spiele,Graz,Offline Retail,Thrift / Vintage Store,4bf58dd8d48988d101951735
6,Brot & Spiele,Graz,Baltimore,Pub,4bf58dd8d48988d11b941735
7,Brot & Spiele,Graz,Hotel Feichtinger Graz,Hotel,4bf58dd8d48988d1fa931735
8,Brot & Spiele,Graz,Lotte,Café,4bf58dd8d48988d16d941735
9,Brot & Spiele,Graz,Erich-Edegger-Steg,Bridge,4bf58dd8d48988d1df941735
10,Brot & Spiele,Graz,SCHRANZER / Möbel / Innenarchitektur / Handwerk,Construction & Landscaping,5454144b498ec1f095bff2f2
11,Brot & Spiele,Graz,coinfinity,ATM,52f2ab2ebcbc57f1066b8b56
12,Brot & Spiele,Graz,Opatija,Eastern European Restaurant,4bf58dd8d48988d109941735
13,Brot & Spiele,Graz,Die Haarschneiderei,Salon / Barbershop,4bf58dd8d48988d110951735
14,Brot & Spiele,Graz,Kwirl,Gift Shop,4bf58dd8d48988d128951735
15,Brot & Spiele,Graz,Insel Cafe,Café,4bf58dd8d48988d16d941735
16,Brot & Spiele,Graz,Murinsel,Scenic Lookout,4bf58dd8d48988d165941735
17,Brot & Spiele,Graz,Minoritenhof,Public Art,507c8c4091d498d9fc8c67a9
18,Brot & Spiele,Graz,Mariahilfer Kirche,Church,4bf58dd8d48988d132941735
19,Brot & Spiele,Graz,Mi Casa,Mexican Restaurant,4bf58dd8d48988d1c1941735
20,Brot & Spiele,Graz,Stigergasse,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
21,Brot & Spiele,Graz,Mariahilferplatz,Plaza,4bf58dd8d48988d164941735
22,Brot & Spiele,Graz,Blumen Leitner,Flower Shop,4bf58dd8d48988d11b951735
23,Brot & Spiele,Graz,Bierboutique,Beer Store,5370f356bcbc57f1066c94c2
24,Brot & Spiele,Graz,Restaurant Demiri,Eastern European Restaurant,4bf58dd8d48988d109941735
25,Brot & Spiele,Graz,Hotel Mariahilf,Hotel,4bf58dd8d48988d1fa931735
26,Brot & Spiele,Graz,Rangoon,Bar,4bf58dd8d48988d116941735
27,Brot & Spiele,Graz,Bakaliko,Greek Restaurant,4bf58dd8d48988d10e941735
28,Brot & Spiele,Graz,Kfc City Park,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761
29,Brot & Spiele,Graz,Minoritensaal,Historic Site,4deefb944765f83613cdba6e
30,Brot & Spiele,Graz,Wüstenrot Landesdirektion Steiermark,Financial or Legal Service,503287a291d4c4b30a586d65
31,Brot & Spiele,Graz,Cafe Renate,Bar,4bf58dd8d48988d116941735
32,Brot & Spiele,Graz,Mur-Promenade,River,4eb1d4dd4b900d56c88a45fd
33,Brot & Spiele,Graz,Caylend,Caribbean Restaurant,4bf58dd8d48988d144941735
34,Brot & Spiele,Graz,tag.werk,Design Studio,4bf58dd8d48988d1f4941735
35,Brot & Spiele,Graz,Schmidhofer im Palais,Restaurant,4bf58dd8d48988d1c4941735
36,Brot & Spiele,Graz,Zerum,Design Studio,4bf58dd8d48988d1f4941735
37,Brot & Spiele,Graz,The Pub,Pub,4bf58dd8d48988d11b941735
38,Brot & Spiele,Graz,Herman Herzele Gallery,Exhibit,56aa371be4b08b9a8d573532
39,Brot und Spiele,Vienna,H Laudongasse,Tram Station,52f2ab2ebcbc57f1066b8b51
40,Brot und Spiele,Vienna,Schönbornpark,Park,4bf58dd8d48988d163941735
41,Brot und Spiele,Vienna,Hotel-Pension ARPI,Hotel,4bf58dd8d48988d1fa931735
42,Brot und Spiele,Vienna,Hildebrandt Café,Café,4bf58dd8d48988d16d941735
43,Brot und Spiele,Vienna,Creme de la creme,Café,4bf58dd8d48988d16d941735
44,Brot und Spiele,Vienna,Blumen Doll,Flower Shop,4bf58dd8d48988d11b951735
45,Brot und Spiele,Vienna,Österreichisches Museum für Volkskunde,History Museum,4bf58dd8d48988d190941735
46,Brot und Spiele,Vienna,MKV Kanzlei,Arcade,4bf58dd8d48988d1e1931735
47,Brot und Spiele,Vienna,Sportordination Physio,Medical Center,4bf58dd8d48988d104941735
48,Brot und Spiele,Vienna,Kleines Wiener Cafe,Café,4bf58dd8d48988d16d941735
49,Brot und Spiele,Vienna,Home of young Adolf Hitler in Vienna,Historic Site,4deefb944765f83613cdba6e
50,Brot und Spiele,Vienna,Task Till Done HQ 2,Tech Startup,4bf58dd8d48988d125941735
51,Brot und Spiele,Vienna,Dr. Irene Seemann,Dentist's Office,4bf58dd8d48988d178941735
52,Brot und Spiele,Vienna,Zahn-Medizin-Zentrum,Dentist's Office,4bf58dd8d48988d178941735
53,Brot und Spiele,Vienna,Dr. Martin Jurek,Doctor's Office,4bf58dd8d48988d177941735
54,Brot und Spiele,Vienna,Röntgenordination Dock & Mendel,Medical Lab,4f4531b14b9074f6e4fb0103
55,Brot und Spiele,Vienna,H Laudongasse/Kochgasse,Bus Stop,52f2ab2ebcbc57f1066b8b4f
56,Brot und Spiele,Vienna,Tientien,Massage Studio,52f2ab2ebcbc57f1066b8b3c
57,Brot und Spiele,Vienna,Kaisaki Running Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735
58,Brot und Spiele,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,4bf58dd8d48988d10f941735
59,Brot und Spiele,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,52e81612bcbc57f1066b7a01
60,Brot und Spiele,Vienna,Muscheln & Mehr,Mediterranean Restaurant,4bf58dd8d48988d1c0941735
61,Brot und Spiele,Vienna,Pension Baronesse,Hotel,4bf58dd8d48988d1fa931735
62,Brot und Spiele,Vienna,L'osteria del Salento,Trattoria/Osteria,55a5a1ebe4b013909087cb7f
63,Brot und Spiele,Vienna,cafe zeit,Dive Bar,4bf58dd8d48988d118941735
64,Brot und Spiele,Vienna,Rühmann,Bar,4bf58dd8d48988d116941735
65,Brot und Spiele,Vienna,Drei,Mobile Phone Shop,4f04afc02fb6e1c99f3db0bc
66,Brot und Spiele,Vienna,Kai Saki,Asian Restaurant,4bf58dd8d48988d142941735
67,Brot und Spiele,Vienna,Die Kantin,Gastropub,4bf58dd8d48988d155941735
68,Brot und Spiele,Vienna,Bolena,Bar,4bf58dd8d48988d116941735
69,Brot und Spiele,Vienna,Via Toledo,Pizza Place,4bf58dd8d48988d1ca941735
70,Brot und Spiele,Vienna,Schilddrüsenspraxis,Medical Center,4bf58dd8d48988d104941735
71,Brot und Spiele,Vienna,Volxkino,Indie Movie Theater,4bf58dd8d48988d17e941735
72,Brot und Spiele,Vienna,Mahal,Indian Restaurant,4bf58dd8d48988d10f941735
73,Brot und Spiele,Vienna,zum sussen eck,Candy Store,4bf58dd8d48988d117951735
74,Brot und Spiele,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,4bf58dd8d48988d177941735
75,Brot und Spiele,Vienna,Kosmetikmacherei,Cosmetics Shop,4bf58dd8d48988d10c951735
76,Café Benno,Vienna,1080 City Apartments,Bed & Breakfast,4bf58dd8d48988d1f8931735
77,Café Benno,Vienna,Haardware Friseurbedarf,Cosmetics Shop,4bf58dd8d48988d10c951735
78,Café Benno,Vienna,Osteria Dal Toscano,Trattoria/Osteria,55a5a1ebe4b013909087cb7f
79,Café Benno,Vienna,McDonald's,Fast Food Restaurant,4bf58dd8d48988d16e941735
80,Café Benno,Vienna,Medizinisches Zentrum Alser Straße (mza),Medical Center,4bf58dd8d48988d104941735
81,Café Benno,Vienna,H Hernalser Gürtel,Tram Station,52f2ab2ebcbc57f1066b8b51
82,Café Benno,Vienna,Grill Lepenac,Eastern European Restaurant,4bf58dd8d48988d109941735
83,Café Benno,Vienna,Hot Dog Standl,BBQ Joint,4bf58dd8d48988d1df931735
84,Café Benno,Vienna,Heidenkummer,Austrian Restaurant,52e81612bcbc57f1066b7a01
85,Café Benno,Vienna,Dott. Mag. Tommaso Avventi,Dentist's Office,4bf58dd8d48988d178941735
86,Café Benno,Vienna,Pfarre Alservorstadt,Church,4bf58dd8d48988d132941735
87,Café Benno,Vienna,St. Anna Kinderspital,Hospital,4bf58dd8d48988d196941735
88,Café Benno,Vienna,Zentrum fuer Reisemedizin,Medical Center,4bf58dd8d48988d104941735
89,Café Benno,Vienna,Nora Pure Sports,Sporting Goods Shop,4bf58dd8d48988d1f2941735
90,Café Benno,Vienna,Crime Runners,General Entertainment,4bf58dd8d48988d1f1931735
91,Café Benno,Vienna,mediamid digital services GmbH,Office,4bf58dd8d48988d124941735
92,Café Benno,Vienna,The Hamam,Tanning Salon,4d1cf8421a97d635ce361c31
93,Café Benno,Vienna,Exit the Room,Arcade,4bf58dd8d48988d1e1931735
94,Café Benno,Vienna,united backyard cutters,Castle,50aaa49e4b90af0d42d5de11
95,Café Benno,Vienna,Cafe Ex,Nightclub,4bf58dd8d48988d11f941735
