,Café_name,Café_city,Venue_name,Venue_cat,Venue_catID
0,Brot & Spiele,Graz,Mursteg,Bridge,4bf58dd8d48988d1df941735
1,Brot & Spiele,Graz,Die Scherbe,Bar,4bf58dd8d48988d116941735
2,Brot & Spiele,Graz,Noël,Bar,4bf58dd8d48988d116941735
3,Brot & Spiele,Graz,Paul & Bohne,Coffee Shop,4bf58dd8d48988d1e0931735
4,Brot & Spiele,Graz,Offline Retail,Thrift / Vintage Store,4bf58dd8d48988d101951735
5,Brot & Spiele,Graz,Baltimore,Pub,4bf58dd8d48988d11b941735
6,Brot & Spiele,Graz,Lotte,Café,4bf58dd8d48988d16d941735
7,Brot & Spiele,Graz,Hotel Feichtinger Graz,Hotel,4bf58dd8d48988d1fa931735
8,Brot & Spiele,Graz,SCHRANZER / Möbel / Innenarchitektur / Handwerk,Construction & Landscaping,5454144b498ec1f095bff2f2
9,Brot & Spiele,Graz,coinfinity,ATM,52f2ab2ebcbc57f1066b8b56
10,Brot & Spiele,Graz,Murinsel,Scenic Lookout,4bf58dd8d48988d165941735
11,Brot & Spiele,Graz,Kwirl,Gift Shop,4bf58dd8d48988d128951735
12,Brot & Spiele,Graz,Opatija,Eastern European Restaurant,4bf58dd8d48988d109941735
13,Brot & Spiele,Graz,Mariahilferplatz,Plaza,4bf58dd8d48988d164941735
14,Brot & Spiele,Graz,Minoritenhof,Public Art,507c8c4091d498d9fc8c67a9
15,Brot & Spiele,Graz,Mariahilfer Kirche,Church,4bf58dd8d48988d132941735
16,Brot & Spiele,Graz,Die Haarschneiderei,Salon / Barbershop,4bf58dd8d48988d110951735
17,Brot & Spiele,Graz,Bierboutique,Beer Store,5370f356bcbc57f1066c94c2
18,Brot & Spiele,Graz,Insel Cafe,Café,4bf58dd8d48988d16d941735
19,Brot & Spiele,Graz,Mi Casa,Mexican Restaurant,4bf58dd8d48988d1c1941735
20,Brot & Spiele,Graz,Restaurant Demiri,Eastern European Restaurant,4bf58dd8d48988d109941735
21,Brot & Spiele,Graz,Stigergasse,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
22,Brot & Spiele,Graz,Blumen Leitner,Flower Shop,4bf58dd8d48988d11b951735
23,Brot & Spiele,Graz,The Hungry Heart - American Street Food,Hot Dog Joint,4bf58dd8d48988d16f941735
24,Brot & Spiele,Graz,Rangoon,Bar,4bf58dd8d48988d116941735
25,Brot & Spiele,Graz,Hotel Mariahilf,Hotel,4bf58dd8d48988d1fa931735
26,Brot & Spiele,Graz,Caylend,Caribbean Restaurant,4bf58dd8d48988d144941735
27,Brot & Spiele,Graz,Erich-Edegger-Steg,Bridge,4bf58dd8d48988d1df941735
28,Brot & Spiele,Graz,Minoritensaal,Historic Site,4deefb944765f83613cdba6e
29,Brot & Spiele,Graz,Bakaliko,Greek Restaurant,4bf58dd8d48988d10e941735
30,Brot & Spiele,Graz,Kfc City Park,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761
31,Brot & Spiele,Graz,Mur-Promenade,River,4eb1d4dd4b900d56c88a45fd
32,Brot & Spiele,Graz,Cafe Renate,Bar,4bf58dd8d48988d116941735
33,Brot & Spiele,Graz,Schmidhofer im Palais,Restaurant,4bf58dd8d48988d1c4941735
34,Brot & Spiele,Graz,The Pub,Pub,4bf58dd8d48988d11b941735
35,Brot & Spiele,Graz,Buchhandel,Bookstore,4bf58dd8d48988d114951735
36,Brot & Spiele,Graz,tag.werk,Design Studio,4bf58dd8d48988d1f4941735
37,Brot & Spiele,Graz,St. Andrä,Church,4bf58dd8d48988d132941735
38,Brot & Spiele,Graz,Zerum,Design Studio,4bf58dd8d48988d1f4941735
39,Brot & Spiele,Graz,Herman Herzele Gallery,Exhibit,56aa371be4b08b9a8d573532
40,Brot & Spiele,Graz,St. Pauli,Nightclub,4bf58dd8d48988d11f941735
41,Brot & Spiele,Graz,Bar8020,Bar,4bf58dd8d48988d116941735
42,Brot & Spiele,Graz,APCOA,Parking,4c38df4de52ce0d596b336e1
43,Brot & Spiele,Graz,hausfrauenpalast,Salon / Barbershop,4bf58dd8d48988d110951735
44,Brot & Spiele,Graz,kleiner Minoritensaal,Historic Site,4deefb944765f83613cdba6e
45,Brot & Spiele,Graz,DKL Rechtsanwälte,Office,4bf58dd8d48988d124941735
46,Brot & Spiele,Graz,Minoriten,General Entertainment,4bf58dd8d48988d1f1931735
47,Brot & Spiele,Graz,Atelier Gemeinschaft Printi,Office,4bf58dd8d48988d124941735
48,Brot & Spiele,Graz,Wüstenrot Landesdirektion Steiermark,Financial or Legal Service,503287a291d4c4b30a586d65
