,Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
0,Brot & Spiele,Graz,Die Scherbe,Bar,1
1,Brot & Spiele,Graz,Noël,Bar,1
2,Brot & Spiele,Graz,Mursteg,Bridge,1
3,Brot & Spiele,Graz,The Hungry Heart - American Street Food,Hot Dog Joint,1
4,Brot & Spiele,Graz,Paul & Bohne,Coffee Shop,1
5,Brot & Spiele,Graz,Offline Retail,Thrift / Vintage Store,1
6,Brot & Spiele,Graz,Baltimore,Pub,1
7,Brot & Spiele,Graz,Hotel Feichtinger Graz,Hotel,1
8,Brot & Spiele,Graz,Lotte,Café,1
9,Brot & Spiele,Graz,Erich-Edegger-Steg,Bridge,1
10,Brot & Spiele,Graz,SCHRANZER / Möbel / Innenarchitektur / Handwerk,Construction & Landscaping,1
11,Brot & Spiele,Graz,coinfinity,ATM,1
12,Brot & Spiele,Graz,Opatija,Eastern European Restaurant,1
13,Brot & Spiele,Graz,Die Haarschneiderei,Salon / Barbershop,1
14,Brot & Spiele,Graz,Kwirl,Gift Shop,1
15,Brot & Spiele,Graz,Insel Cafe,Café,1
16,Brot & Spiele,Graz,Murinsel,Scenic Lookout,1
17,Brot & Spiele,Graz,Minoritenhof,Public Art,1
18,Brot & Spiele,Graz,Mariahilfer Kirche,Church,1
19,Brot & Spiele,Graz,Mi Casa,Mexican Restaurant,1
20,Brot & Spiele,Graz,Stigergasse,Residential Building (Apartment / Condo),1
21,Brot & Spiele,Graz,Mariahilferplatz,Plaza,1
22,Brot & Spiele,Graz,Blumen Leitner,Flower Shop,1
23,Brot & Spiele,Graz,Bierboutique,Beer Store,1
24,Brot & Spiele,Graz,Restaurant Demiri,Eastern European Restaurant,1
25,Brot & Spiele,Graz,Hotel Mariahilf,Hotel,1
26,Brot & Spiele,Graz,Rangoon,Bar,1
27,Brot & Spiele,Graz,Bakaliko,Greek Restaurant,1
28,Brot & Spiele,Graz,Kfc City Park,Fried Chicken Joint,1
29,Brot & Spiele,Graz,Minoritensaal,Historic Site,1
30,Brot & Spiele,Graz,Wüstenrot Landesdirektion Steiermark,Financial or Legal Service,1
31,Brot & Spiele,Graz,Cafe Renate,Bar,1
32,Brot & Spiele,Graz,Mur-Promenade,River,1
33,Brot & Spiele,Graz,Caylend,Caribbean Restaurant,1
34,Brot & Spiele,Graz,tag.werk,Design Studio,1
35,Brot & Spiele,Graz,Schmidhofer im Palais,Restaurant,1
36,Brot & Spiele,Graz,Zerum,Design Studio,1
37,Brot & Spiele,Graz,The Pub,Pub,1
38,Brot & Spiele,Graz,Herman Herzele Gallery,Exhibit,1
39,Brot und Spiele,Vienna,H Laudongasse,Tram Station,1
40,Brot und Spiele,Vienna,Schönbornpark,Park,1
41,Brot und Spiele,Vienna,Hotel-Pension ARPI,Hotel,1
42,Brot und Spiele,Vienna,Hildebrandt Café,Café,1
43,Brot und Spiele,Vienna,Creme de la creme,Café,1
44,Brot und Spiele,Vienna,Blumen Doll,Flower Shop,1
45,Brot und Spiele,Vienna,Österreichisches Museum für Volkskunde,History Museum,1
46,Brot und Spiele,Vienna,MKV Kanzlei,Arcade,1
47,Brot und Spiele,Vienna,Sportordination Physio,Medical Center,1
48,Brot und Spiele,Vienna,Kleines Wiener Cafe,Café,1
49,Brot und Spiele,Vienna,Home of young Adolf Hitler in Vienna,Historic Site,1
50,Brot und Spiele,Vienna,Task Till Done HQ 2,Tech Startup,1
51,Brot und Spiele,Vienna,Dr. Irene Seemann,Dentist's Office,1
52,Brot und Spiele,Vienna,Zahn-Medizin-Zentrum,Dentist's Office,1
53,Brot und Spiele,Vienna,Dr. Martin Jurek,Doctor's Office,1
54,Brot und Spiele,Vienna,Röntgenordination Dock & Mendel,Medical Lab,1
55,Brot und Spiele,Vienna,H Laudongasse/Kochgasse,Bus Stop,1
56,Brot und Spiele,Vienna,Tientien,Massage Studio,1
57,Brot und Spiele,Vienna,Kaisaki Running Sushi,Sushi Restaurant,1
58,Brot und Spiele,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,1
59,Brot und Spiele,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,1
60,Brot und Spiele,Vienna,Muscheln & Mehr,Mediterranean Restaurant,1
61,Brot und Spiele,Vienna,Pension Baronesse,Hotel,1
62,Brot und Spiele,Vienna,L'osteria del Salento,Trattoria/Osteria,1
63,Brot und Spiele,Vienna,cafe zeit,Dive Bar,1
64,Brot und Spiele,Vienna,Rühmann,Bar,1
65,Brot und Spiele,Vienna,Drei,Mobile Phone Shop,1
66,Brot und Spiele,Vienna,Kai Saki,Asian Restaurant,1
67,Brot und Spiele,Vienna,Die Kantin,Gastropub,1
68,Brot und Spiele,Vienna,Bolena,Bar,1
69,Brot und Spiele,Vienna,Via Toledo,Pizza Place,1
70,Brot und Spiele,Vienna,Schilddrüsenspraxis,Medical Center,1
71,Brot und Spiele,Vienna,Volxkino,Indie Movie Theater,1
72,Brot und Spiele,Vienna,Mahal,Indian Restaurant,1
73,Brot und Spiele,Vienna,zum sussen eck,Candy Store,1
74,Brot und Spiele,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,1
75,Brot und Spiele,Vienna,Kosmetikmacherei,Cosmetics Shop,1
76,Café Benno,Vienna,1080 City Apartments,Bed & Breakfast,1
77,Café Benno,Vienna,Haardware Friseurbedarf,Cosmetics Shop,1
78,Café Benno,Vienna,Osteria Dal Toscano,Trattoria/Osteria,1
79,Café Benno,Vienna,McDonald's,Fast Food Restaurant,1
80,Café Benno,Vienna,Medizinisches Zentrum Alser Straße (mza),Medical Center,1
81,Café Benno,Vienna,H Hernalser Gürtel,Tram Station,1
82,Café Benno,Vienna,Grill Lepenac,Eastern European Restaurant,1
83,Café Benno,Vienna,Hot Dog Standl,BBQ Joint,1
84,Café Benno,Vienna,Heidenkummer,Austrian Restaurant,1
85,Café Benno,Vienna,Dott. Mag. Tommaso Avventi,Dentist's Office,1
86,Café Benno,Vienna,Pfarre Alservorstadt,Church,1
87,Café Benno,Vienna,St. Anna Kinderspital,Hospital,1
88,Café Benno,Vienna,Zentrum fuer Reisemedizin,Medical Center,1
89,Café Benno,Vienna,Nora Pure Sports,Sporting Goods Shop,1
90,Café Benno,Vienna,Crime Runners,General Entertainment,1
91,Café Benno,Vienna,mediamid digital services GmbH,Office,1
92,Café Benno,Vienna,The Hamam,Tanning Salon,1
93,Café Benno,Vienna,Exit the Room,Arcade,1
94,Café Benno,Vienna,united backyard cutters,Castle,1
95,Café Benno,Vienna,Cafe Ex,Nightclub,1
96,Café Benno,Vienna,Cafe Auszeit,Café,1
97,Café Benno,Vienna,Flarent Vienna Apartments,Vacation Rental,1
98,Café Benno,Vienna,Zoo Alsergrund,Pet Store,1
99,Café Benno,Vienna,Kamera - Service u. Fotohandel Helmut Redl,Other Repair Shop,1
100,Café Benno,Vienna,A1 Telekom Austria Hebragasse,Office,1
101,Café Benno,Vienna,Med. Zentrum Alser Straße (mza),Medical Center,1
102,Café Benno,Vienna,Bennogasse,Residential Building (Apartment / Condo),1
103,Café Benno,Vienna,Institut für Spezifische Prophylaxe und Tropenmedizin,Medical School,1
104,Café Benno,Vienna,Institut Für Virologie,General College & University,1
105,Café Benno,Vienna,Recheninstitut,College Auditorium,1
106,Café Benno,Vienna,B72,Music Venue,1
107,Café Benno,Vienna,Albertplatz,Plaza,1
108,Café Benno,Vienna,Steindl's Weinhaus,Gastropub,1
109,Café Benno,Vienna,Kindermed,Doctor's Office,1
110,Café Benno,Vienna,El Feo,Bar,1
111,Café Benno,Vienna,Pub Speakeasy,Pub,1
112,Café Benno,Vienna,Moody,Lounge,1
113,Café Benno,Vienna,"Zentrum f. Public Health, Allgemein- u. Familienmedizin",Medical School,1
114,Café Sperlhof,Vienna,Pfadfindergruppe Wien 51,General College & University,1
115,Café Sperlhof,Vienna,Monte Ofelio,Deli / Bodega,1
116,Café Sperlhof,Vienna,X-MAS Motorcycle Electrics,Shop & Service,1
117,Café Sperlhof,Vienna,Augartenspitz,Park,1
118,Café Sperlhof,Vienna,HOFER,Supermarket,1
119,Café Sperlhof,Vienna,McDonald's,Fast Food Restaurant,1
120,Café Sperlhof,Vienna,supermari,Gourmet Shop,1
