District,Latitude,Longitude,OSM_ID
Raunistula,60.4640665,22.2776288,8837205
Ispoinen,60.4237057,22.2731031,10762765
Kupittaa,22.29613619745664,22.295501,8837204
III,60.4436283,22.266856510051102,8837201
Kohmo,60.4584505,22.3506492,10762964
Vasaramäki,60.4399336,22.3102732,10762971
Itäharju,60.4490678,22.3087549,10762972
Luolavuori,60.4321006,22.2797255,10762772
Perno,60.4565262,22.1606412,10761592
Moikoinen,60.4180303,22.2373111,10762421
Koivula,60.4210462,22.3031888,10762974
I,60.45304495,22.285114907314156,8837203
Kurala,60.4587108,22.3295533,10762965
VI,60.4547601,22.269699884085817,8837206
VIII,60.44530625,22.24522499633178,8837208
Vätti,60.4690974,22.2564042,10764112
Papinsaari,60.39436155,22.269328258338597,11487463
Kaerla,60.4808569,22.2671333,10764111
Kaistarniemi,60.4020555,22.25468,10762419
Kurjenmäki,22.281293808478488,22.2852788,10762760
Kärsämäki,60.4801621,22.2797293,10764108
Kähäri,60.4613124,22.2497649,10764116
Mälikkälä,60.4756705,22.2157423,10764114
Iso-Heikkilä,22.22933169274955,22.2305737,10762963
Peltola,60.4266648,22.2995023,10762771
VII,22.257027756348627,22.2537886,8837207
Pansio,60.4484343,22.1541867,10761590
Skanssi,60.4273026,22.3224894,10762973
Jänessaari,22.185200616184922,22.1822972,10761568
Maanpää,60.4114029,22.156893,10761569
Korppolaismäki,22.2395476128064,22.235856,10761470
Oriniemi,22.17387715358517,22.169158,10762411
Saramäki,60.5040084,22.317822,10764103
Port of Turku,60.4457062,22.167256961122582,10585534
Friskala,60.3998388,22.2260987,10762416
IV,60.44052355,22.255197599700253,8837200
Ruissalo,60.42559645,22.130866207965724,9212031
V,60.4372195,22.2444128,8837199
Artukainen,60.4520119,22.1805378,10761591
Runosmäki,60.4897448,22.2616184,10764109
Yli-Maaria,60.5449261,22.3113877,10764098
Kakskerta,60.358929200000006,22.22624871985942,9733824
Jäkärlä,60.5392233,22.3549908,10764099
Särkilahti,22.19779843118863,22.1954657,10762414
Pikisaari,60.4290175,22.2014697,10761567
Puistomäki,60.4283582,22.2599634,10762766
IX,60.44003065,22.23886096632586,8837209
Vaala,60.4362161,22.3616008,10762968
Lauste,60.433687,22.3468219,10762969
Harittu,60.4152528,22.3085168,10762762
Pitkämäki,60.4603776,22.2290066,10764117
Paattinen,22.421241777144488,22.3833761,10764096
Katariina,22.27899545560333,22.2711199,10762764
Teräsrautela,60.4734429,22.2387794,10764113
Ilpoinen,60.4219798,22.2887862,10762763
Pihlajaniemi,60.4265305,22.2452794,10761469
Varissuo,60.4478329,22.3581559,10762966
Lauttaranta,60.4263921,22.2233,10762420
Pahaniemi,60.4566226,22.1988169,10764118
Illoinen,60.408681,22.1843821,10762413
Toijainen,60.4096284,22.2162707,10762415
Koroinen,60.4684121,22.2922303,10761467
Huhkola,60.4286677,22.3370739,10762970
Satava,60.36589005,22.14834199753553,9576311
Uittamo,60.4213403,22.2589662,10762767
Nummi,22.30523268665229,22.3083806,10761468
Halinen,60.4711502,22.3198878,10761465
Pohjola,60.4568331,22.2554497,10761464
Pääskyvuori,60.4447342,22.3397955,10762967
Räntämäki,60.4746507,22.3018496,10764110
Mäntymäki,22.267707856610002,22.2699605,10762761
Vähäheikkilä,60.431626,22.255878,8837198
Kastu,60.4726753,22.2747063,10761466
Oriketo,60.4830999,22.3117985,10764107
Ruohonpää,60.4660757,22.2396999,10764115
Kukola,60.4089677,22.2345605,10762418
II,22.27735229048366,22.2628533,8837202
Haarla,60.3943887,22.2206466,10762412
