District,Venue_name,Venue_cat,Venue_catID
Raunistula,As Oy Turun Tyyki,Building,4bf58dd8d48988d130941735
Raunistula,Saramäentie 1,Dog Run,4bf58dd8d48988d1e5941735
Raunistula,akatemian bussi,Bus Line,4bf58dd8d48988d12b951735
Raunistula,as oy Turun Puuvilla,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Raunistula,Mullintien hammaspäivystys,Dentist's Office,4bf58dd8d48988d178941735
Raunistula,Virusmäentie,Dog Run,4bf58dd8d48988d1e5941735
Raunistula,Ida's place,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Raunistula,Mikin Keittiö,Diner,4bf58dd8d48988d147941735
Raunistula,Bando,Strip Club,4bf58dd8d48988d1d6941735
Raunistula,MyMatilda beauty,Spa,4bf58dd8d48988d1ed941735
Raunistula,Kristan Piha,Art Gallery,4bf58dd8d48988d1e2931735
Raunistula,BB-talo,Strip Club,4bf58dd8d48988d1d6941735
Raunistula,M&M hoodit,Lounge,4bf58dd8d48988d121941735
Raunistula,Pysäkki 273,Arcade,4bf58dd8d48988d1e1931735
Raunistula,Faijan Mazda,Rental Car Location,4bf58dd8d48988d1ef941735
Raunistula,у шена,Housing Development,4f2a210c4b9023bd5841ed28
Raunistula,Asunto Oy Turun Villa,Assisted Living,5032891291d4c4b30a586d68
Raunistula,Le Penthouse,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Raunistula,Dee's,Strip Club,4bf58dd8d48988d1d6941735
Raunistula,Nostokurki,Factory,4eb1bea83b7b6f98df247e06
Raunistula,Aivöri Tauvör,Assisted Living,5032891291d4c4b30a586d68
Raunistula,Katan luola,Assisted Living,5032891291d4c4b30a586d68
Raunistula,Janikan Sänky 👌,Assisted Living,5032891291d4c4b30a586d68
Raunistula,Reiskan hima🌚💙,Assisted Living,5032891291d4c4b30a586d68
Raunistula,mummin koti,Buffet,52e81612bcbc57f1066b79f4
Raunistula,hiekkakenttä,Park,4bf58dd8d48988d163941735
Raunistula,Sagan Molokolo,Karaoke Bar,4bf58dd8d48988d120941735
Raunistula,casa de V&V,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Raunistula,Posti Ramppis,Trailer Park,52f2ab2ebcbc57f1066b8b55
Raunistula,Ellin koti💜,Nightclub,4bf58dd8d48988d11f941735
Raunistula,Kummisetä,Bar,4bf58dd8d48988d116941735
