Name,Address,City,PostalCode,Country
Geek Out! Argentina,Darregueyra 2484,Buenos Aires,C1425,Argentina
The Board Game Cafe,Holmberg 2000,Buenos Aires,1430,Argentina
Magic Lair,Avenida Juan Bautista Alberdi 1170,Ciudad de Buenos Aires,1406,Argentina
Invictvs Café y Salon de Juegos,Italia 101,Paraná,E3100,Argentina
BrainHackr,"208 Prospect Rd, Prospect, South Australia",Adelaide,5082,Australia
The Lost Dice,254 Main Rd blackwood,Adelaide,5051,Australia
The Loot Room,"Shop 9, 29 Logan River Rd",Beenleigh,4207,Australia
Vault Games,"LG, 123 Charlotte St",Brisbane,4000,Australia
Guild,150 London Cct,Canberra,ht,Australia
Queen of Spades,189 Smith St,Fitzroy,3065,Australia
downstairs@lab,328 Little Lonsdale St,Melbourne,3000,Australia
Marche Board Game Cafe,63 A'Beckett St,Melbourne,3000,Australia
Cafe Myriade,"2/98, Lake Street, Northbridge",Perth,6003,Australia
Pause / Menu,95 Acland Street,St Kilda,3182,Australia
Brot & Spiele,Mariahilferstraße 17,Graz,8020,Austria
Brot und Spiele,Laudongasse 22,Vienna,1080,Austria
Café Benno,Alser Str. 67,Vienna,1080,Austria
Café Sperlhof,Große Sperlgasse 41,Vienna,1020,Austria
SpielBar,Lederergasse 26,Vienna,1080,Austria
The Raven's Nest,Rd No 255,Jannusan,0000,Bahrain
The Playground (Hoofdkerk),Hoofdkerkstraat 7,Antwerp,2000,Belgium
The Playground (Station),Pelikaanstraat 3/1270,Antwerp,2018,Belgium
Outpost Antwerpen,Beggaardenstraat 6 ,Antwerpen,2000,Belgium
The Playground,Hoofdkerkstraat 7,Antwerpen,2000,Belgium
La Luck Brussels,74 rue Washington,Brussels,1050,Belgium
La Table Food & Games,63 rue de l'enseignement,Brussels,1000,Belgium
Outpost Brussels,Rue de la Tribune 8,Brussels,1000,Belgium
Kings and Queens,Rue du Fossé aux Loups 27,Bruxelles,1000,Belgium
OutPost Gamecenter,Ottergemsesteenweg 13 ,Gent,9000,Belgium
World's End Comics & Games Center,Ketelvest 51,Gent,9000,Belgium
Oberonn,Kempische steenweg 27/1,Hasselt,3500,Belgium
Yam-toto,En Hors-Chateau 43,Liège,4000,Belgium
Aux 3D Board Game Cafe,"Place Abbe Joseph, 11",Namur,5000,Belgium
Brood en Spelen,Stationsstraat 41,Sint-Niklaas,9100,Belgium
De Ezel,Piepelpoel,Tongeren,3700,Belgium
A Fenda,"Rua Antonio Alves, 24-42",Bauru,17011210,Brazil
Funtasy Bar e Jogos,"Rua Tomé de Souza, 1145",Belo Horizonte,30110-035,Brazil
Ludoteca BGC,Asa Sul CLS 315 Loja 13,Brasília,70346-090,Brazil
Metropoly,"Avenida Professor Atílio Martini, 469.",Campinas,13083-830,Brazil
JogaBurger,"Av. Nelly Martins, 76 - Portal Itayara",Campo Grande,79032-295,Brazil
Lends Club - Curitiba,"Rua Coronel Dulcídio, 1822 Água Verde",Curitiba,80250-100,Brazil
Cafe Ludico,"R. Delmiro de Farias, 685",Fortaleza,60416-030,Brazil
Covil Game Bar,"Rua do Saboó, 12 - Jardim Barbosa",Guarulhos,07111-030,Brazil
Lends Club - Porto Alegre,"Rua Lopo Gonçalves, 327 Cidade Baixa",Porto Alegre,90050-350,Brazil
Lends Club - Recife,"Rua Conde de Irajá, 486 Torre",Recife,50710-310,Brazil
Boards & Burgers Hamburgueria e Ludoteca,"Rua Uruguai, 266",Rio de Janeiro,20510052,Brazil
Game of Boards,"Rua Benjamin Constant, 48 - Glória",Rio de Janeiro,20241-150,Brazil
Lends Club - Santa Maria,"Rua Duque de Caxias, 1074 Centro",Santa Maria,97015-001,Brazil
