City_name,Venue_name,Venue_cat,Venue_catID
Aachen,Rathaus,City Hall,4bf58dd8d48988d129941735
Aachen,Krönungssaal,History Museum,4bf58dd8d48988d190941735
Aachen,Markt,Plaza,4bf58dd8d48988d164941735
Aachen,REWE CITY,Supermarket,52f2ab2ebcbc57f1066b8b46
Aachen,Starbucks,Coffee Shop,4bf58dd8d48988d1e0931735
Aachen,Brauerei Goldener Schwan,German Restaurant,4bf58dd8d48988d10d941735
Aachen,Zum Postwagen,German Restaurant,4bf58dd8d48988d10d941735
Aachen,Karlsbrunnen,Fountain,56aa371be4b08b9a8d573547
Aachen,Katschhof,Plaza,4bf58dd8d48988d164941735
Aachen,Cafe Extrablatt,Café,4bf58dd8d48988d16d941735
Aachen,Haus Löwenstein,Government Building,4bf58dd8d48988d126941735
Aachen,Weißer Saal im Rathaus,City Hall,4bf58dd8d48988d129941735
Aachen,Rathaustreppe,Historic Site,4deefb944765f83613cdba6e
Aachen,Rossmann,Drugstore,5745c2e4498e11e7bccabdbd
Aachen,Ratskeller Aachen,Restaurant,4bf58dd8d48988d1c4941735
Aachen,Sultans of Kebab,Fast Food Restaurant,4bf58dd8d48988d16e941735
Aachen,NEOORO - Die Liquidboutique,Wine Shop,4bf58dd8d48988d119951735
Aachen,The Body Shop,Cosmetics Shop,4bf58dd8d48988d10c951735
Aachen,inlingua Center Aachen,Language School,52e81612bcbc57f1066b7a48
Aachen,Hühnebein,Hobby Shop,4bf58dd8d48988d1fb941735
Aachen,Hair by PACO | Friseur Aachen,Salon / Barbershop,4bf58dd8d48988d110951735
Aachen,Ghorban Delikatessen Manufaktur,Deli / Bodega,4bf58dd8d48988d146941735
Aachen,AKL,Falafel Restaurant,4bf58dd8d48988d10b941735
Aachen,Autrepart,Cosmetics Shop,4bf58dd8d48988d10c951735
Aachen,Modellbahn-Center Hünerbein,Hobby Shop,4bf58dd8d48988d1fb941735
Aachen,ALEX,Café,4bf58dd8d48988d16d941735
Aachen,Sausalitos,Mexican Restaurant,4bf58dd8d48988d1c1941735
Aachen,BURGERISTA,Burger Joint,4bf58dd8d48988d16c941735
Aachen,Der Teeladen,Tea Room,4bf58dd8d48988d1dc931735
Aachen,bitburger,German Restaurant,4bf58dd8d48988d10d941735
Aachen,Rund um Dom und Rathaus,College Gym,4bf58dd8d48988d1b2941735
Aachen,Café Middelberg,Café,4bf58dd8d48988d16d941735
Aachen,Karl‘s,German Restaurant,4bf58dd8d48988d10d941735
Aachen,Aachener Café-Haus,Café,4bf58dd8d48988d16d941735
Aachen,Egmont,Bar,4bf58dd8d48988d116941735
Aachen,Zum goldenen Einhorn,German Restaurant,4bf58dd8d48988d10d941735
Aachen,XiAn Küche,Chinese Restaurant,4bf58dd8d48988d145941735
Aachen,Tijuana,Cocktail Bar,4bf58dd8d48988d11e941735
Aachen,Devido Frozen Joghurt,Ice Cream Shop,4bf58dd8d48988d1c9941735
Aachen,Rathausbalkon Aachen,Other Nightlife,4bf58dd8d48988d11a941735
Aachen,TeeGschwendner,Tea Room,4bf58dd8d48988d1dc931735
Aachen,Cafe Colette,Café,4bf58dd8d48988d16d941735
Aachen,Fara Maleki und Gesine Lange,Doctor's Office,4bf58dd8d48988d177941735
Aachen,Teestube Haus Eulenspiegel,Tea Room,4bf58dd8d48988d1dc931735
Aachen,Café Pausenbrot,Café,4bf58dd8d48988d16d941735
Aachen,Asia Box,Asian Restaurant,4bf58dd8d48988d142941735
Aachen,Karl's Wirtshaus,German Restaurant,4bf58dd8d48988d10d941735
Aachen,Hühnermarkt,Plaza,4bf58dd8d48988d164941735
Aachen,Hair Club Am Markt,Salon / Barbershop,4bf58dd8d48988d110951735
Aachen,Brauhaus Goldener Schwan,German Restaurant,4bf58dd8d48988d10d941735
Aachen,Centre Charlemagne,History Museum,4bf58dd8d48988d190941735
Aachen,Hexenhof,Gastropub,4bf58dd8d48988d155941735
Aachen,Minh Chau,Vietnamese Restaurant,4bf58dd8d48988d14a941735
