Café_name,Café_city,Venue_name,Venue_cat,Venue_catID
Brot & Spiele,Graz,Noël,Bar,4bf58dd8d48988d116941735
Brot & Spiele,Graz,Mursteg,Bridge,4bf58dd8d48988d1df941735
Brot & Spiele,Graz,Die Scherbe,Bar,4bf58dd8d48988d116941735
Brot & Spiele,Graz,Paul & Bohne,Coffee Shop,4bf58dd8d48988d1e0931735
Brot & Spiele,Graz,Offline Retail,Thrift / Vintage Store,4bf58dd8d48988d101951735
Brot & Spiele,Graz,Hotel Feichtinger Graz,Hotel,4bf58dd8d48988d1fa931735
Brot & Spiele,Graz,SCHRANZER / Möbel / Innenarchitektur / Handwerk,Construction & Landscaping,5454144b498ec1f095bff2f2
Brot & Spiele,Graz,Lotte,Café,4bf58dd8d48988d16d941735
Brot & Spiele,Graz,The Pub,Pub,4bf58dd8d48988d11b941735
Brot & Spiele,Graz,Baltimore,Pub,4bf58dd8d48988d11b941735
Brot & Spiele,Graz,Erich-Edegger-Steg,Bridge,4bf58dd8d48988d1df941735
Brot & Spiele,Graz,coinfinity,ATM,52f2ab2ebcbc57f1066b8b56
Brot & Spiele,Graz,The Hungry Heart - American Street Food,Hot Dog Joint,4bf58dd8d48988d16f941735
Brot & Spiele,Graz,Rangoon,Bar,4bf58dd8d48988d116941735
Brot & Spiele,Graz,Opatija,Eastern European Restaurant,4bf58dd8d48988d109941735
Brot & Spiele,Graz,Bierboutique,Beer Store,5370f356bcbc57f1066c94c2
Brot & Spiele,Graz,Murinsel,Scenic Lookout,4bf58dd8d48988d165941735
Brot & Spiele,Graz,Mariahilferplatz,Plaza,4bf58dd8d48988d164941735
Brot & Spiele,Graz,Die Haarschneiderei,Salon / Barbershop,4bf58dd8d48988d110951735
Brot & Spiele,Graz,Stigergasse,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Brot & Spiele,Graz,Kwirl,Gift Shop,4bf58dd8d48988d128951735
Brot & Spiele,Graz,Minoritenhof,Public Art,507c8c4091d498d9fc8c67a9
Brot & Spiele,Graz,Insel Cafe,Café,4bf58dd8d48988d16d941735
Brot & Spiele,Graz,Hotel Mariahilf,Hotel,4bf58dd8d48988d1fa931735
Brot & Spiele,Graz,Mi Casa,Mexican Restaurant,4bf58dd8d48988d1c1941735
Brot & Spiele,Graz,Mariahilfer Kirche,Church,4bf58dd8d48988d132941735
Brot & Spiele,Graz,Restaurant Demiri,Eastern European Restaurant,4bf58dd8d48988d109941735
Brot & Spiele,Graz,Bakaliko,Greek Restaurant,4bf58dd8d48988d10e941735
Brot & Spiele,Graz,Blumen Leitner,Flower Shop,4bf58dd8d48988d11b951735
Brot & Spiele,Graz,Kfc City Park,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761
Brot & Spiele,Graz,Cafe Renate,Bar,4bf58dd8d48988d116941735
Brot & Spiele,Graz,Caylend,Caribbean Restaurant,4bf58dd8d48988d144941735
Brot & Spiele,Graz,Minoritensaal,Historic Site,4deefb944765f83613cdba6e
Brot & Spiele,Graz,Mur-Promenade,River,4eb1d4dd4b900d56c88a45fd
Brot & Spiele,Graz,Buchhandel,Bookstore,4bf58dd8d48988d114951735
Brot & Spiele,Graz,Schmidhofer im Palais,Restaurant,4bf58dd8d48988d1c4941735
Brot & Spiele,Graz,tag.werk,Design Studio,4bf58dd8d48988d1f4941735
Brot & Spiele,Graz,Zerum,Design Studio,4bf58dd8d48988d1f4941735
Brot & Spiele,Graz,St. Pauli,Nightclub,4bf58dd8d48988d11f941735
Brot & Spiele,Graz,Bar8020,Bar,4bf58dd8d48988d116941735
Brot & Spiele,Graz,St. Andrä,Church,4bf58dd8d48988d132941735
Brot & Spiele,Graz,Herman Herzele Gallery,Exhibit,56aa371be4b08b9a8d573532
Brot & Spiele,Graz,APCOA,Parking,4c38df4de52ce0d596b336e1
Brot & Spiele,Graz,hausfrauenpalast,Salon / Barbershop,4bf58dd8d48988d110951735
Brot & Spiele,Graz,DKL Rechtsanwälte,Office,4bf58dd8d48988d124941735
Brot & Spiele,Graz,kleiner Minoritensaal,Historic Site,4deefb944765f83613cdba6e
Brot & Spiele,Graz,Minoriten,General Entertainment,4bf58dd8d48988d1f1931735
Brot & Spiele,Graz,Atelier Gemeinschaft Printi,Office,4bf58dd8d48988d124941735
Brot & Spiele,Graz,Wüstenrot Landesdirektion Steiermark,Financial or Legal Service,503287a291d4c4b30a586d65
Brot & Spiele,Graz,Grün Kommunikationslösungen,Electronics Store,4bf58dd8d48988d122951735
Brot & Spiele,Graz,Fluid-Forms.com,Arts & Crafts Store,4bf58dd8d48988d127951735
Brot & Spiele,Graz,Kloster der Minoriten,Historic Site,4deefb944765f83613cdba6e
Brot & Spiele,Graz,Kunsthaustiefgarage,Parking,4c38df4de52ce0d596b336e1
Brot & Spiele,Graz,Heldentheater,Photography Lab,4eb1bdde3b7b55596b4a7490
Brot & Spiele,Graz,Abteilung für Wirtschafts- und Tourismusentwicklung,Office,4bf58dd8d48988d124941735
Brot & Spiele,Graz,Chez Daniela,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Brot & Spiele,Graz,Kunstverein Medienturm,Art Gallery,4bf58dd8d48988d1e2931735
Brot & Spiele,Graz,ipunkt,Coworking Space,4bf58dd8d48988d174941735
Brot & Spiele,Graz,Probots,Tech Startup,4bf58dd8d48988d125941735
Brot & Spiele,Graz,BUMBUM!,Design Studio,4bf58dd8d48988d1f4941735
Brot & Spiele,Graz,mosai.co,Art Gallery,4bf58dd8d48988d1e2931735
Brot & Spiele,Graz,Schranzer,Gift Shop,4bf58dd8d48988d128951735
Brot & Spiele,Graz,Raymond Haarmode,Salon / Barbershop,4bf58dd8d48988d110951735
Brot & Spiele,Graz,Managerie,Coworking Space,4bf58dd8d48988d174941735
Brot & Spiele,Graz,selma keramik,Art Gallery,4bf58dd8d48988d1e2931735
Brot & Spiele,Graz,Mariahilfersaal,Concert Hall,5032792091d4c4b30a586d5c
Brot & Spiele,Graz,Mariahilferstrasse 11 graz,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
Brot & Spiele,Graz,Anzüglich,Boutique,4bf58dd8d48988d104951735
Brot & Spiele,Graz,ADS,Non-Profit,50328a8e91d4c4b30a586d6c
Brot & Spiele,Graz,Herzlich Jugend am Werk Laden,Design Studio,4bf58dd8d48988d1f4941735
Brot & Spiele,Graz,Murton Hauptbühne,Public Art,507c8c4091d498d9fc8c67a9
Brot & Spiele,Graz,Feichtinger Gold und Schmuck,Jewelry Store,4bf58dd8d48988d111951735
Brot & Spiele,Graz,Murton Festival,Music Venue,4bf58dd8d48988d1e5931735
Brot & Spiele,Graz,thepub,Beer Garden,4bf58dd8d48988d117941735
Brot & Spiele,Graz,Stadtmarketing Graz,Non-Profit,50328a8e91d4c4b30a586d6c
Brot & Spiele,Graz,A15,Office,4bf58dd8d48988d124941735
Brot & Spiele,Graz,Miles Jazzbar,Jazz Club,4bf58dd8d48988d1e7931735
Brot & Spiele,Graz,Dr. Werner Lukas,Veterinarian,4d954af4a243a5684765b473
Brot & Spiele,Graz,Boogee Basement HQ,Office,4bf58dd8d48988d124941735
