Café_name,Café_city,Venue_name,Venue_cat,Has_board_game_café
Brot & Spiele,Graz,Noël,Bar,1
Brot & Spiele,Graz,Mursteg,Bridge,1
Brot & Spiele,Graz,Die Scherbe,Bar,1
Brot & Spiele,Graz,Paul & Bohne,Coffee Shop,1
Brot & Spiele,Graz,Offline Retail,Thrift / Vintage Store,1
Brot & Spiele,Graz,Hotel Feichtinger Graz,Hotel,1
Brot & Spiele,Graz,SCHRANZER / Möbel / Innenarchitektur / Handwerk,Construction & Landscaping,1
Brot & Spiele,Graz,Lotte,Café,1
Brot & Spiele,Graz,The Pub,Pub,1
Brot & Spiele,Graz,Baltimore,Pub,1
Brot & Spiele,Graz,Erich-Edegger-Steg,Bridge,1
Brot & Spiele,Graz,coinfinity,ATM,1
Brot & Spiele,Graz,The Hungry Heart - American Street Food,Hot Dog Joint,1
Brot & Spiele,Graz,Rangoon,Bar,1
Brot & Spiele,Graz,Opatija,Eastern European Restaurant,1
Brot & Spiele,Graz,Bierboutique,Beer Store,1
Brot & Spiele,Graz,Murinsel,Scenic Lookout,1
Brot & Spiele,Graz,Mariahilferplatz,Plaza,1
Brot & Spiele,Graz,Die Haarschneiderei,Salon / Barbershop,1
Brot & Spiele,Graz,Stigergasse,Residential Building (Apartment / Condo),1
Brot & Spiele,Graz,Kwirl,Gift Shop,1
Brot & Spiele,Graz,Minoritenhof,Public Art,1
Brot & Spiele,Graz,Insel Cafe,Café,1
Brot & Spiele,Graz,Hotel Mariahilf,Hotel,1
Brot & Spiele,Graz,Mi Casa,Mexican Restaurant,1
Brot & Spiele,Graz,Mariahilfer Kirche,Church,1
Brot & Spiele,Graz,Restaurant Demiri,Eastern European Restaurant,1
Brot & Spiele,Graz,Bakaliko,Greek Restaurant,1
Brot & Spiele,Graz,Blumen Leitner,Flower Shop,1
Brot & Spiele,Graz,Kfc City Park,Fried Chicken Joint,1
Brot & Spiele,Graz,Cafe Renate,Bar,1
Brot & Spiele,Graz,Caylend,Caribbean Restaurant,1
Brot & Spiele,Graz,Minoritensaal,Historic Site,1
Brot & Spiele,Graz,Mur-Promenade,River,1
Brot & Spiele,Graz,Buchhandel,Bookstore,1
Brot & Spiele,Graz,Schmidhofer im Palais,Restaurant,1
Brot & Spiele,Graz,tag.werk,Design Studio,1
Brot & Spiele,Graz,Zerum,Design Studio,1
Brot & Spiele,Graz,St. Pauli,Nightclub,1
Brot & Spiele,Graz,Bar8020,Bar,1
Brot & Spiele,Graz,St. Andrä,Church,1
Brot & Spiele,Graz,Herman Herzele Gallery,Exhibit,1
Brot & Spiele,Graz,APCOA,Parking,1
Brot & Spiele,Graz,hausfrauenpalast,Salon / Barbershop,1
Brot & Spiele,Graz,DKL Rechtsanwälte,Office,1
Brot & Spiele,Graz,kleiner Minoritensaal,Historic Site,1
Brot & Spiele,Graz,Minoriten,General Entertainment,1
Brot & Spiele,Graz,Atelier Gemeinschaft Printi,Office,1
Brot & Spiele,Graz,Wüstenrot Landesdirektion Steiermark,Financial or Legal Service,1
Brot & Spiele,Graz,Grün Kommunikationslösungen,Electronics Store,1
Brot & Spiele,Graz,Fluid-Forms.com,Arts & Crafts Store,1
Brot & Spiele,Graz,Kloster der Minoriten,Historic Site,1
Brot & Spiele,Graz,Kunsthaustiefgarage,Parking,1
Brot & Spiele,Graz,Heldentheater,Photography Lab,1
Brot & Spiele,Graz,Abteilung für Wirtschafts- und Tourismusentwicklung,Office,1
Brot & Spiele,Graz,Chez Daniela,Residential Building (Apartment / Condo),1
Brot & Spiele,Graz,Kunstverein Medienturm,Art Gallery,1
Brot & Spiele,Graz,ipunkt,Coworking Space,1
Brot & Spiele,Graz,Probots,Tech Startup,1
Brot & Spiele,Graz,BUMBUM!,Design Studio,1
Brot & Spiele,Graz,mosai.co,Art Gallery,1
Brot & Spiele,Graz,Schranzer,Gift Shop,1
Brot & Spiele,Graz,Raymond Haarmode,Salon / Barbershop,1
Brot & Spiele,Graz,Managerie,Coworking Space,1
Brot & Spiele,Graz,selma keramik,Art Gallery,1
Brot & Spiele,Graz,Mariahilfersaal,Concert Hall,1
Brot & Spiele,Graz,Mariahilferstrasse 11 graz,Residential Building (Apartment / Condo),1
Brot & Spiele,Graz,Anzüglich,Boutique,1
Brot & Spiele,Graz,ADS,Non-Profit,1
Brot & Spiele,Graz,Herzlich Jugend am Werk Laden,Design Studio,1
Brot & Spiele,Graz,Murton Hauptbühne,Public Art,1
Brot & Spiele,Graz,Feichtinger Gold und Schmuck,Jewelry Store,1
Brot & Spiele,Graz,Murton Festival,Music Venue,1
Brot & Spiele,Graz,thepub,Beer Garden,1
Brot & Spiele,Graz,Stadtmarketing Graz,Non-Profit,1
Brot & Spiele,Graz,A15,Office,1
Brot & Spiele,Graz,Miles Jazzbar,Jazz Club,1
Brot & Spiele,Graz,Dr. Werner Lukas,Veterinarian,1
Brot & Spiele,Graz,Boogee Basement HQ,Office,1
Brot & Spiele,Graz,Bar Omega,Hotel Bar,1
Brot & Spiele,Graz,la piazza,Italian Restaurant,1
Brot & Spiele,Graz,Pane,Bakery,1
Brot & Spiele,Graz,villa d'oro,Italian Restaurant,1
Brot & Spiele,Graz,Djs,Cocktail Bar,1
Brot & Spiele,Graz,McDonald's,Burger Joint,1
Brot und Spiele,Vienna,H Laudongasse,Tram Station,1
Brot und Spiele,Vienna,Schönbornpark,Park,1
Brot und Spiele,Vienna,Hotel-Pension ARPI,Hotel,1
Brot und Spiele,Vienna,Via Toledo,Pizza Place,1
Brot und Spiele,Vienna,Blumen Doll,Flower Shop,1
Brot und Spiele,Vienna,Hildebrandt Café,Café,1
Brot und Spiele,Vienna,MKV Kanzlei,Arcade,1
Brot und Spiele,Vienna,Mahal,Indian Restaurant,1
Brot und Spiele,Vienna,Dr. Martin Jurek,Doctor's Office,1
Brot und Spiele,Vienna,Home of young Adolf Hitler in Vienna,Historic Site,1
Brot und Spiele,Vienna,Creme de la creme,Café,1
Brot und Spiele,Vienna,Kleines Wiener Cafe,Café,1
Brot und Spiele,Vienna,H Laudongasse/Kochgasse,Bus Stop,1
Brot und Spiele,Vienna,Dr. Irene Seemann,Dentist's Office,1
Brot und Spiele,Vienna,Zahn-Medizin-Zentrum,Dentist's Office,1
Brot und Spiele,Vienna,Sportordination Physio,Medical Center,1
Brot und Spiele,Vienna,Rühmann,Bar,1
Brot und Spiele,Vienna,cafe zeit,Dive Bar,1
Brot und Spiele,Vienna,Tientien,Massage Studio,1
Brot und Spiele,Vienna,Pension Baronesse,Hotel,1
Brot und Spiele,Vienna,Röntgenordination Dock & Mendel,Medical Lab,1
Brot und Spiele,Vienna,Task Till Done HQ 2,Tech Startup,1
Brot und Spiele,Vienna,Anna's Schnitzl Stube,Austrian Restaurant,1
Brot und Spiele,Vienna,Muscheln & Mehr,Mediterranean Restaurant,1
Brot und Spiele,Vienna,Kaisaki Running Sushi,Sushi Restaurant,1
Brot und Spiele,Vienna,Taj-Indian Restaurant & Bar,Indian Restaurant,1
Brot und Spiele,Vienna,Drei,Mobile Phone Shop,1
Brot und Spiele,Vienna,L'osteria del Salento,Trattoria/Osteria,1
Brot und Spiele,Vienna,Volxkino,Indie Movie Theater,1
Brot und Spiele,Vienna,Österreichisches Museum für Volkskunde,History Museum,1
Brot und Spiele,Vienna,Bolena,Bar,1
Brot und Spiele,Vienna,Die Kantin,Gastropub,1
Brot und Spiele,Vienna,Ancha's Platz,Residential Building (Apartment / Condo),1
Brot und Spiele,Vienna,Pizzeria Mille Notte,Italian Restaurant,1
Brot und Spiele,Vienna,zum sussen eck,Candy Store,1
Brot und Spiele,Vienna,Kai Saki,Asian Restaurant,1
Brot und Spiele,Vienna,Schwerelos,Spa,1
Brot und Spiele,Vienna,Antiquariat Höcher,Bookstore,1
Brot und Spiele,Vienna,Schilddrüsenspraxis,Medical Center,1
Brot und Spiele,Vienna,Kosmetikmacherei,Cosmetics Shop,1
Brot und Spiele,Vienna,Hundezone Schönbornpark,Dog Run,1
Brot und Spiele,Vienna,Urban Stay (Hotel Columbia),Hotel,1
Brot und Spiele,Vienna,Schöfmann,Restaurant,1
Brot und Spiele,Vienna,Ordination Dr. Chizzali-Bonfadin,Doctor's Office,1
Brot und Spiele,Vienna,Stefan-Zweig-Haus,Historic Site,1
Brot und Spiele,Vienna,BAWAG,Bank,1
Brot und Spiele,Vienna,The Birdyard,Restaurant,1
Brot und Spiele,Vienna,U.S.W. Beisl,Bar,1
Brot und Spiele,Vienna,Yami Noodles,Japanese Restaurant,1
Brot und Spiele,Vienna,Dr. Klaudia Stockinger,Doctor's Office,1
Brot und Spiele,Vienna,Elfenbein Pole Dance,College Gym,1
