District,No,Yes
Artukainen,0.7447354924726342,0.25526450752736585
Friskala,0.5935434529201896,0.4064565470798104
Haarla,0.7449415065043672,0.25505849349563275
Halinen,0.8143370052918485,0.1856629947081515
Harittu,0.8039139657579031,0.19608603424209697
Huhkola,0.8241056296936661,0.17589437030633395
I,0.5287145636919967,0.47128543630800335
II,0.6596648349118286,0.34033516508817135
III,0.6710597672723251,0.328940232727675
IV,0.7717857382834541,0.22821426171654594
IX,0.7385401130659744,0.26145988693402555
Illoinen,0.7687084344842117,0.23129156551578836
Ilpoinen,0.6322394768725335,0.36776052312746654
Iso-Heikkilä,0.5577807339855283,0.44221926601447176
Ispoinen,0.8407466633288001,0.15925333667119987
Itäharju,0.5559779283611869,0.44402207163881313
Jäkärlä,0.5517317891715766,0.4482682108284234
Jänessaari,0.800276792320977,0.199723207679023
Kaerla,0.9123801785024088,0.08761982149759119
Kaistarniemi,0.5791483258679668,0.42085167413203317
Kakskerta,0.7796393016307741,0.22036069836922587
Kastu,0.7148984912667316,0.28510150873326845
Katariina,0.6648501593326805,0.3351498406673194
Kohmo,0.7586812056583143,0.2413187943416857
Koivula,0.5269142758518577,0.4730857241481424
Koroinen,0.652349946674696,0.3476500533253039
Korppolaismäki,0.6799900420628308,0.32000995793716924
Kukola,0.48873719335757526,0.5112628066424247
Kupittaa,0.3287178458893444,0.6712821541106556
Kurala,0.6544819585627695,0.3455180414372305
Kurjenmäki,0.6350643997022005,0.3649356002977995
Kähäri,0.8673516957686795,0.1326483042313204
Kärsämäki,0.6444898282727036,0.3555101717272963
Lauste,0.7027640940942408,0.29723590590575916
Lauttaranta,0.9079611009341779,0.09203889906582208
Luolavuori,0.7167757557789258,0.28322424422107423
Maanpää,0.9272987012870986,0.07270129871290137
Moikoinen,0.8707937229160376,0.12920627708396237
Mälikkälä,0.8616620661977084,0.13833793380229165
Mäntymäki,0.949679695415462,0.05032030458453796
Nummi,0.7497491548925468,0.25025084510745327
Oriketo,0.6054166407351693,0.39458335926483074
Oriniemi,0.8382709325661309,0.16172906743386903
Paattinen,0.7196820919849924,0.28031790801500756
Pahaniemi,0.9052700097551429,0.09472999024485707
Pansio,0.8855677383595342,0.1144322616404658
Papinsaari,0.6911587198789519,0.30884128012104806
Peltola,0.37513039869313813,0.6248696013068619
Perno,0.7999432415294825,0.2000567584705175
Pihlajaniemi,0.6817456501459562,0.31825434985404377
Pikisaari,0.8980732781127085,0.1019267218872914
Pitkämäki,0.6372916615955969,0.3627083384044031
Pohjola,0.5896197548135527,0.4103802451864473
Port of Turku,0.8511886189287945,0.1488113810712055
Puistomäki,0.8500812819370973,0.1499187180629027
Pääskyvuori,0.6998632017012594,0.3001367982987406
Raunistula,0.6817474395305905,0.3182525604694095
Ruissalo,0.9350845686798421,0.06491543132015784
Runosmäki,0.6894193873337546,0.3105806126662454
Ruohonpää,0.6017089009073247,0.3982910990926753
Räntämäki,0.8495735436882662,0.15042645631173376
Saramäki,0.7813766693647756,0.2186233306352244
Satava,0.7773305110595968,0.22266948894040314
Skanssi,0.9640293854921912,0.03597061450780876
Särkilahti,0.6124312958743926,0.3875687041256074
Teräsrautela,0.30830120012328044,0.6916987998767196
Toijainen,0.8365756695532622,0.16342433044673774
Uittamo,0.8582758177790535,0.14172418222094654
V,0.7866985458643768,0.21330145413562318
VI,0.4396679628888598,0.5603320371111402
VII,0.35964605465590804,0.640353945344092
VIII,0.7542224926081963,0.24577750739180373
Vaala,0.8359181349701484,0.16408186502985153
Varissuo,0.6093011312945965,0.3906988687054035
Vasaramäki,0.8092729001875231,0.19072709981247693
Vähäheikkilä,0.6351320232733166,0.3648679767266833
Vätti,0.7734135419778068,0.2265864580221933
Yli-Maaria,0.7008792051835151,0.29912079481648496
