District,Venue_name,Venue_cat
Kohmo,Silvolanrinne,Building
Kohmo,Pysäkki 1651,Bus Station
Kohmo,2/2a päätepysäkki🌚,Bus Station
Kohmo,Bussipysäkki 1651,Bus Stop
Kohmo,🚜Jonnen nopee raktori🚜,Transportation Service
Kohmo,kohmon kenttä,Park
Kohmo,Iskän Kämppä,Assisted Living
Kohmo,iskän auto🚘,Rental Car Location
Kohmo,tissi/kana taivas,Arepa Restaurant
Kohmo,thuyn vessa,Public Bathroom
Kohmo,Tarun kolo,Beach Bar
Kohmo,Sonjan Residenssi,Residential Building (Apartment / Condo)
Kohmo,kohmoo hoods🌚,African Restaurant
Kohmo,OKT 39,Playground
Kohmo,Nava's,Castle
Kohmo,Marinalla,Strip Club
Kohmo,tobba varasto,Speakeasy
Kohmo,Markusen Lukaali🏢,Bar
Kohmo,Janun Luola,Gay Bar
Kohmo,akken kaverin  kämppä,Strip Club
Kohmo,Yannick's apartment,Residential Building (Apartment / Condo)
Kohmo,Hieroja Lindberg,Bath House
Kohmo,Six Feet Under,Video Game Store
Kohmo,Role's place,Club House
Kohmo,Ninon runkkuluola,American Restaurant
Kohmo,Lara's,Assisted Living
Kohmo,assu's place,Castle
Kohmo,Tarun iskelmäparveke 😎🎶,Caribbean Restaurant
Kohmo,Selidos homestudio,Nightclub
Kohmo,Vitut Olet 🤓,Night Market
Kohmo,Koirakeskus,Dog Run
Kohmo,Esterin Lukaali✨💖,Fair
Kohmo,Pururata,Trail
Kohmo,Juho's,Assisted Living
Kohmo,R pappan koti🤘🏻,Assisted Living
Kohmo,Raivionkujan vuokrakasarmit,Assisted Living
Kohmo,juho's,Comedy Club
Kohmo,Benuuy's place,Music Venue
Kohmo,rusun rapluukku,Lounge
Kohmo,IskänSohva,Other Nightlife
Kohmo,elle's kitchen,Comfort Food Restaurant
Kohmo,Lauran&Jennan Huone,Karaoke Bar
Kohmo,Manola,Trailer Park
Kohmo,KoskelaistenTV,Movie Theater
Kohmo,Bed,Strip Club
Kohmo,Jonten Lukaali,Brewery
Kohmo,kohmoon jääkenttä,Brewery
Kohmo,Ellen palatsi 👑,Nightclub
Kohmo,Iskän Parveke,Lounge
Kohmo,valto's bed,Other Nightlife
Kohmo,Kohmon Jäät,Nightclub
Kohmo,Lempiäisen partyhouse🍻,Bar
Kohmo,oksa's,Strip Club
Kohmo,alec's,Strip Club
